"STATE","DEATH_COUNT"
"ALABAMA",47
"ALASKA",78
"AMERICAN SAMOA",1
"ARIZONA",17
"ARKANSAS",25
"ATLANTIC NORTH",8
"ATLANTIC SOUTH",5
"CALIFORNIA",29
"COLORADO",3
"CONNECTICUT",2
"E PACIFIC",4
"FLORIDA",28
"GEORGIA",11
"GUAM",107
"GULF OF MEXICO",72
"HAWAII",5
"HAWAII WATERS",2
"IDAHO",19
"ILLINOIS",184
"INDIANA",20
"IOWA",4
"KANSAS",6
"KENTUCKY",101
"LOUISIANA",10
"MARYLAND",7
"MINNESOTA",1
"MISSISSIPPI",98
"MISSOURI",69
"MONTANA",1
"NEBRASKA",6
"NEVADA",174
"NEW HAMPSHIRE",8
"NEW JERSEY",9
"NEW MEXICO",33
"NEW YORK",10
"NORTH CAROLINA",5
"OHIO",67
"OKLAHOMA",85
"OREGON",10
"PENNSYLVANIA",19
"PUERTO RICO",8
"SOUTH CAROLINA",42
"SOUTH DAKOTA",3
"TENNESSEE",83
"TEXAS",1255
"UTAH",876
"VIRGINIA",13
"WASHINGTON",14
"WEST VIRGINIA",13
"WISCONSIN",3
"WYOMING",4
